logbookID	title	desc	start_date	start_place	end_date	end_place	source	note	change_date	changer	masterIDs	vesselIDs	voyageIDs	master	repositoryID	ID_in_repo	ID_in_repo_alt	url_in_repo	viewer_url	creator	creatorID	thumbnail	citation	other_years	segmentIDs
AL057049	North Star (Steam bark) of New Bedford, mastered by James S. Carter and L.C. Owen, on voyage from 2 Aug. 1881-1882		1881 Aug 2	New Bedford, MA	1882		NBWM		2018-11-13	N Silveira	AM3678, AM0827	AS0709	AV10613		NBW	ODHS 223			https://archive.org/details/northstarsteamba00nort					1881 1882	
AL057050	Navarch (Steam bark) of San Francisco, mastered by John A. Cook, on voyage from 20 Dec. 1892 to 10 Nov. 1896		1892 July 5	New Bedford, MA	1893		NBWM		2018-11-14	N Silveira	AM1789, AM5316	AS0764	AV10320		NBW	ODHS 224			https://archive.org/details/navarchsteambark00nava					1892 1893	
AL057051	William Baylies (Steam bark) of San Francisco, mastered by John MacInnis, on voyage from 31 Mar. 1894-7 Nov. 1895		1894 Mar 31	San Francisco, CA	1895		NBWM		2018-11-13	N Silveira	AM3398	AS0713	AV15610		NBW	ODHS 225			https://archive.org/details/williambayliesst00will_0					1894 1895	
AL057052	Logbook of the William Baylies (Steam bark) of San Francisco , mastered by S.F. Cottle on voyage from 10 Mar. 1900-17 Nov.		1900 Mar 10	San Francisco, CA	1900 Nov 18		NBWM		2018-11-14	N Silveira	AM1382	AS0713	AV15616		NBW	ODHS 229			https://archive.org/details/logbookofwilliam00will_3	George F. Tilton				1900	
AL057053	Logbook of the William Baylies (Steam bark) of San Francisco , mastered by C.E. Buckley and S.F. Cottle on voyage from 28 Feb. 1899-16 Nov.		1899 Feb 28	San Francisco, CA	1899		NBWM		2018-11-14	N Silveira	AM0707, AM1382	AS0713	AV15614		NBW	ODHS 230			https://archive.org/details/logbookofwilliam00will_1	S.F. Cottle				1899	
AL057054	Logbook of the Belvedere (Steam bark) of San Francisco, mastered by George F. Smith, on voyage from 2 Dec. 1884-9 Nov. 1885		1884	San Francisco, CA	1890 Nov 22		NBWM	Volume contains multiple voyages	2018-11-14	N Silveira	AM4491, AM1325, AM4332, AM1318, AM5316, AM0381	AS0707	AV01684, AS01685, AV01686, AV01687, AV01688, AV01689, AV01690, AV01692		NBW	ODHS 235			https://archive.org/details/logbookofbelvede00belv_0	C.H. Tucker				1884 1885 1886 1887 1888 1889 1890	
AL057055	Logbook of the William Baylies (Steam bark) of San Francisco, mastered by George W. Porter, on voyage from 15 Dec. 1892-10 Nov. 1893		1892 Dec 15	San Francisco, CA	1893		NBWM		2018-11-14	N Silveira	AM3924	AS0713	AV15609		NBW	ODHS 236			https://archive.org/details/logbookofwilliam00will_2					1892 1893	
AL057056	Logbook of the Vineyard (Ship) of Edgartown, mastered by Edwin Coffin, on voyage from 29 Nov. 1850-14 Mar. 1853		1850	Edgartown, MA	1853		NBWM		2018-11-01	N Silveira	AM1135	AS2564	AV15175		NBW	ODHS 243			https://archive.org/details/logbookofvineyar00vine	Edwin Coffin				1850 1851 1852 1853	
AL057057	Champion (Ship) of New Bedford, Mass., mastered by Joseph Bailey (dies Feb. 1852 of stroke) and then William B. Waterman. Kept by Charles R. Cary, William B. Waterman, and N.P. Gray. 1850 June 18-1853 Mar. 24		1850	New Bedford, MA	1853		NBWM		2018-11-14	N Silveira	AM0235, AM5188, AM0670	AS0114	AV02533		NBW	ODHS 258			https://archive.org/details/championshipofne00cham	 Charles R. Cary, William B. Waterman, and N.P. Gray				1850 1851 1852 1853	
AL057058	Good Return (Ship) of New Bedford, Mass., mastered by Christopher Cook. Kept by Benjamin F. Wing. 1847 Dec. 9-1851 Jan. 28 on a voyage to the Cape Verde, Off Shore, Northwest Coast, Coast of California, Galapagos, Japan, and Arctic Ocean whaling grounds		1847 Dec 8	New Bedford, MA	1851		NBWM		2018-10-08	N Silveira	AM1293	AS0218	AV05902		NBW	ODHS 268			https://archive.org/details/goodreturnshipof00good_0	Benjamin F. Wing				1847 1848 1849 1850 1851	
AL057059	Logbook of the Navarch (Steam bark) of San Francisco, Calif., mastered by Joseph Whiteside, kept by Thomas Birnbaum on voyage 2 Mar. 1897-14 Oct. 1897		1897 Maar 2	San Francisco, CA	1897 August		NBWM		2018-10-06	N Silveira	AM5316	AS0764	AV10324		NBW	ODHS 272	Microfilm Reel 257		https://archive.org/details/logbookofnavarch00nava	Thomas Birnbaum				1897	
AL057060	Logbook of the Henry Taber (Bark) Whaling vessel, of New Bedford, Mass., mastered by Timothy C. Packard, kept by first mate J.R. Stivers on voyage 23 Oct. 1868-14 Sept. 1871		1868 Oct 21	New Bedford, MA	1871 Sept 14		NBWM		2018-09-22	N Silveira	AM3680	AS0289	AV06446		NBW	ODHS 282			https://archive.org/details/logbookofhenryta00unse	J.R. S				1868 1869 1870 1871	
AL057061	Logbook of the Rousseau (Bark) of New Bedford, Mass., mastered by Charles S. Pope, kept by Edward J.R. Selby on voyage 17 Oct. 1853-5 July 1857		1853	New Bedford, MA	1857		NBWM		2018-10-05	N Silveira	AM3920	AS0578	AV12623		NBW	ODHS 284	Microfilm Reel 258		https://archive.org/details/logbookofroussea00unse	Edward J.R. Selby				1853 1854 1855 1856 1857	
AL057062	Logbook of the Falcon (Ship) of New Bedford, mastered by Joseph Gardner, on voyage from 25 July 1852-2 June 1855		1852	New Bedford, MA	1855		NBWM		2025-01-17	dtc	AM2117	AS0211	AV04832		NBW	ODHS 288			https://archive.org/details/falconshipofnewb00falc	James B. Snow				1852 1853 1854 1855	
