DWid	DW	voyageID	voyage	vesselID	vessel	agentID	agent	masterID	master	DWlink	other_years	port	change_date	changer
AD14422	1-442	AV12589	Rose : 1837-1841	AS2756	Rose	AA1203	Starbuck, Simeon	AM1246	Coleman, Benjamin A.	https://archive.org/details/abstractsofwhali1183denn/page/n479	1837 1838 1839 1840 1841	Nantucket, MA	2021-10-04	
AD14423	1-442	AV12590	Rose : 1842-1846	AS2756	Rose	AA1203	Starbuck, Simeon	AM4825	Swain, William B.	https://archive.org/details/abstractsofwhali1183denn/page/n479	1842 1843 1844 1845 1846	Nantucket, MA	2021-10-04	
AD14431	1-443	AV12168	Reaper : 1835-1837	AS2266	Reaper	AA0940	Osgood, John B.	AM5501	Worth, Joseph T.	https://archive.org/details/abstractsofwhali1183denn/page/n480	1835 1836 1837	Salem, MA	2021-10-04	
AD14432	1-443	AV12170	Reaper : 1837-1839	AS2266	Reaper	AA0940	Osgood, John B.	AM3548	Neal, Benjamin B.	https://archive.org/details/abstractsofwhali1183denn/page/n480	1837 1838 1839	Salem, MA	2021-10-04	
AD14433	1-443	AV12171	Reaper : 1839-1842	AS2266	Reaper	AA0940	Osgood, John B.	AM3548	Neal, Benjamin B.	https://archive.org/details/abstractsofwhali1183denn/page/n480	1839 1840 1841 1842	Salem, MA	2021-10-04	
AD14434	1-443	AV12416	Robert Browne  : 1842-1845	AS2303	Robert Browne 	AA0128	Billings, N. & W. W.	AM1916	Fitch, William	https://archive.org/details/abstractsofwhali1183denn/page/n480	1842 1843 1844 1845	New London, CT	2021-10-04	
AD14441	1-444	AV12264	Rhine : 1841-1842	AS0585	Rhine	AA0893	Morse, John O.	AM3487	Morse, Albert C.	https://archive.org/details/abstractsofwhali1183denn/page/n481	1841 1842	Edgartown, MA	2021-10-04	
AD14442	1-444	AV12265	Rhine : 1842-1845	AS0585	Rhine	AA0893	Morse, John O.	AM1611	Downes, Baxter	https://archive.org/details/abstractsofwhali1183denn/page/n481	1842 1843 1844 1845	Edgartown, MA	2021-10-04	
AD14443	1-444	AV12283	Richard : 1837-1839	AS2286	Richard	AA0607	Hodges, Joseph	AM1754	Dewing, Joseph	https://archive.org/details/abstractsofwhali1183denn/page/n481	1837 1838 1839	Salem, MA	2021-10-04	
AD14444	1-444	AV15206	Volant : 1839-1841	AS2567	Volant	AA0113	Bates, J. S.	AM2399	Hammond, Clement	https://archive.org/details/abstractsofwhali1183denn/page/n481	1839 1840 1841	Rochester, MA	2021-10-04	
AD14451	1-445	AV08752	Macon : 1839-1842	AS1827	Macon	AA0149	Bradley, Thomas	AM3429	Merry, William	https://archive.org/details/abstractsofwhali1183denn/page/n482	1839 1840 1841 1842	Holmes’ Hole, MA	2021-10-04	
AD14452	1-445	AV08753	Macon : 1842-1844	AS1827	Macon	AA0149	Bradley, Thomas	AM3429	Merry, William	https://archive.org/details/abstractsofwhali1183denn/page/n482	1842 1843 1844	Holmes’ Hole, MA	2021-10-04	
AD14453	1-445	AV12462	Roger Williams : 1833-1837	AS2310	Roger Williams	AA1066	Rogers, Robert, Jr.	AM3373	Mayhew, Matthew or Bartlett	https://archive.org/details/abstractsofwhali1183denn/page/n482	1833 1834 1835 1836 1837	Bristol, RI	2021-10-04	
AD14461	1-446	AV12533	Rosalie : 1836-1839	AS2318	Rosalie	AA1157	Smith, Joseph, Jr. & Co.	AM3849	Pickens, Andrew	https://archive.org/details/abstractsofwhali1183denn/page/n483	1836 1837 1838 1839	Warren, RI	2021-10-04	
AD14462	1-446	AV12534	Rosalie : 1839-1841	AS2318	Rosalie	AA1157	Smith, Joseph, Jr. & Co.	AM1689	Eddy, Sylvester	https://archive.org/details/abstractsofwhali1183denn/page/n483	1839 1840 1841	Warren, RI	2021-10-04	
AD14463	1-446	AV12535	Rosalie : 1841-1842	AS2318	Rosalie	AA1153	Smith, Joseph	AM1689	Eddy, Sylvester	https://archive.org/details/abstractsofwhali1183denn/page/n483	1841 1842	Warren, RI	2021-10-04	
AD14464	1-446	AV12536	Rosalie : 1842-1845	AS2318	Rosalie	AA1153	Smith, Joseph	AM3506	Mosher, Philip	https://archive.org/details/abstractsofwhali1183denn/page/n483	1842 1843 1844 1845	Warren, RI	2021-10-04	
AD14471	1-447	AV12503	Romulus : 1836-1837	AS2314	Romulus	AA0896	Mulford & Howell	AM4139	Rogers, Joshua Jones	https://archive.org/details/abstractsofwhali1183denn/page/n484	1836 1837	Sag Harbor, NY	2021-10-04	
AD14472	1-447	AV12504	Romulus : 1837-1839	AS2314	Romulus	AA0896	Mulford & Howell	AM4139	Rogers, Joshua Jones	https://archive.org/details/abstractsofwhali1183denn/page/n484	1837 1838 1839	Sag Harbor, NY	2021-10-04	
AD14473	1-447	AV12505	Romulus : 1839-1840	AS2314	Romulus	AA0896	Mulford & Howell	AM1987	Fordham, Henry B.	https://archive.org/details/abstractsofwhali1183denn/page/n484	1839 1840	Sag Harbor, NY	2021-10-04	
AD14474	1-447	AV12506	Romulus : 1840-1842	AS2314	Romulus	AA0896	Mulford & Howell	AM4139	Rogers, Joshua Jones	https://archive.org/details/abstractsofwhali1183denn/page/n484	1840 1841 1842	Sag Harbor, NY	2021-10-04	
AD14475	1-447	AV12507	Romulus : 1842-1843	AS2314	Romulus	AA0896	Mulford & Howell	AM0846	Case, Joseph	https://archive.org/details/abstractsofwhali1183denn/page/n484	1842 1843	Sag Harbor, NY	2021-10-04	
AD14476	1-447	AV12508	Romulus : 1843-1845	AS2314	Romulus	AA0896	Mulford & Howell	AM4139	Rogers, Joshua Jones	https://archive.org/details/abstractsofwhali1183denn/page/n484	1843 1844 1845	Sag Harbor, NY	2021-10-04	
