mabsID	voyageID	voyage	masterID	maurymaster	vesselID	mauryvessel	mauryrig	mauryport	maurydest	mauryvol	maurypage	maurylink	mauryplaces	maurynotes	other_years
AB261	AV06511	Herald : 1841-1843	AM0587	Brewster, C. O.	AS1586	Herald	Ship	Stonington		39	40	https://catalog.archives.gov/id/454773400?objectPage=462		returned 4 May 1843	1841 1842 1843
AB262	AV06512	Herald : 1843-1845	AM0587	Brewster, C. O.	AS1586	Herald	Ship	Stonington		39	56	https://catalog.archives.gov/id/454773400?objectPage=477		sailed 24 Jun 1843. AOWV has Elijah B. Morgan AM3480	1843 1844 1845
AB263	AV06519	Herald II : 1847-1851	AM3243	Macomber, John Arnold	AS0274	Herald II				160	133	https://catalog.archives.gov/id/454800028?objectPage=554	https://catalog.archives.gov/id/454800028?objectPage=421		1847 1848 1849 1850 1851
AB264	AV06612	Heroine : 1836-1837	AM2433	Harding	AS1597	Heroine				102	184	https://catalog.archives.gov/id/454787638?objectPage=526	https://catalog.archives.gov/id/454787638?objectPage=341		1836 1837
AB265	AV06615	Heroine : 1841-1843	AM4483	Smith	AS1597	Heroine	Ship		Geographers Bay	109	125	https://catalog.archives.gov/id/454789411?objectPage=142	https://catalog.archives.gov/id/454789411?objectPage=17		1841 1842 1843
AB266	AV06636	Hesper : 1826-1828	AM4861	Pease	AS0267	Hesper	Ship		Payta	19	142	https://catalog.archives.gov/id/454768988?objectPage=554	https://catalog.archives.gov/id/454768988?objectPage=411		1826 1827 1828
AB267	AV06637	Hesper : 1828-1830	AM0656	Brown	AS0267	Hesper	Bark			66	183	https://catalog.archives.gov/id/454780225?objectPage=204	https://catalog.archives.gov/id/454780225?objectPage=23		1828 1829 1830
AB268	AV06639	Hesper : 1834-1838	AM2004	Fosdick, O.	AS0267	Hesper	Bark		St. Catherines Island	98	93	https://catalog.archives.gov/id/454786670?objectPage=664	https://catalog.archives.gov/id/454786670?objectPage=571		1834 1835 1836 1837 1838
AB269	AV06641	Hesper : 1835-1837	AM2004	Fosdick, O. G?.	AS1599	Hesper	Bark			132	18	https://catalog.archives.gov/id/454794004?objectPage=542	https://catalog.archives.gov/id/454794004?objectPage=523	AOWV has AM2577 Heyer	1835 1836 1837
AB270	AV06627	Hesper : 1844-1848	AM3767	Pease, Francis	AS0267	Hesper	Bark	Fairhaven, MA	Pacific Ocean	134	1	https://catalog.archives.gov/id/454794942?objectPage=21	https://catalog.archives.gov/id/454794942?objectPage=19	sailed 11 Sep 1844	1844 1845 1846 1847 1848
